image_Path,image_name,text
France_Pages\France_Page22.png,France_Page22.png,"turned on hinges on the other side. There were severall other pretty curiositys which would have taken up long time to examin. Also the cubberd that changed scenes only upon locking and unlocking the dore. 23 [dec.] We saw St. John��s Church, the Cathedrall of the place, a very plain, ordinary building, & had noe thing in it very observable Horologium but the clock, which they say cost 200,000 livres. It hath many motions, but I had not time to observe them all accuratly. There is a minute hand moves round in an hower, & the minutes are marked out in it in equall spaces on an oval, not a circle, & both ends of the hand keepe stil even with the inner line that describes the oval, shortening & lengthening stil as they approach the lesse or greater axis of the oval, & the end of every hower a cock that stands on top of all, claps his wings & crows. Then an angel comes out of a little door & visits the Virgin. She bows. A dove descends, "
France_Pages\France_Page23.png,France_Page23.png,"& the image of an old man, designed for the Father, shakes his hand. This is what is most looked at, but of least moment, there being other things far more considerable in it, as the place of the sun, the dominical letter, Epact, golden number, moveable feasts, etc., and other things of an almanac for almost an hundred years yet to come. 24 dec. I saw a litle castle, cald the Peir encise, upon the river Sone, at its entrance into the town. It is a place used to keepe prisoners, & indeed is much fitter to keep criminals in then enemies out. It is a litle, irregular fortification on a rock, which hath a precipice on all sides, & is extream high towards the river & two other sides, but is of noe strengthe, being commanded by hils much higher then it, that hangs [sic] over it on one side from the river. The way up to it is a litle pair of stairs where two can hardly passe. Here Fouque was once prisoner. Here & some time before it comes hither, the Sone passes "
France_Pages\France_Page24.png,France_Page24.png,"(in a very narrow bottom not much broader then the river) between very high, steep, rocky hills which continue all a long on the right hand beyond its joyning with the Rhosne, but a litle within the towne the hils on the left hand of this river turne short towards the Rhosne, & soe leave a long, plain neck of land between these two rivers, on which the greatest part ofthis citty is built, in narrow, irregular streets & high stone houses, flat roofd & coverd with pan tiles & some turrets & the angles of the roofs with latin. A good part of the town lyes also on the right hand the Sone, & the sides of the hills on both sides the town are set with houses & other buildings with gardens, orchards & vineards up to the top, soe that it is a pleasant place. The Town House4 here is a stately building. "
France_Pages\France_Page25.png,France_Page25.png,"25 [dec.] I saw the town from the hil on the north side where is a fair prospect of it lying on the promontory south from this riseing, the greatest part between the two rivers. I saw also the Hostel Dieu, a fair, large Hospital, containing, as they told me, 500 sick persons. They lye in a room which is a large crosse, & 3 rows of beds in each1 & in one part 2 in a bed, in the other but one, as I observd. Two of the arms of the crosse have men, the other two women. In the center is an altar. We went also to see the Charite, where bastards are receivd & bred.2 We could get in noe farther then the outer court & the Chappell, where we staid & heard the women there sing Vespers which they did well, both in vocal & in instrumentall musick. They performed a great part of the evening service & were of those that had been bred up in that house. "
France_Pages\France_Page28.png,France_Page28.png,"26 dec. I saw the Charitie, consisting of 9 square courts, & there were in it then, as I was told, 1500 maintaind & lodgd there. There they receive bastards, male & female, &, as soon as they are able, are imploid in winding silk, the manner whereof, it being holy day, we could not see. The most considerable thing we saw was their granary, 100 steps long & 36 broad, windows open all round. It stands on the banks of the Rhosne. There are constantly in it 6,135 asnees of wheat. When we were there, they told us there were more in it. One asnee is an asse load of 6 bushells. They turne all the corne every day, about which 7 men are imployd. When the boys are grown up big enough, they binde them out to trades, & the girles they either marry or put into nunnerys. It is a very noble foundation, and hath a large revenue. After this, we took horse & rode to Vienne, 5 leagues. The way is somewhat hilly towards Vienne. Vienne is an old towne, ancienter then Lyons, but Lyons hath swallowed it, for it looks decaying. They said there were many antiquities, but I saw noe thing "
France_Pages\France_Page29.png,France_Page29.png,"but some old Roman medals, a bird they call passer solitarius, somewhat bigger then a larke, of a black & yellow colour, that sings very well, but the bird is rare. The owner of this asked 3 Luidors for it. 27 dec. We went 7 leagues to St. Valer1 through a pleasant valey by the Rhosne, fild with corne feilds & these coverd with walnut trees & mulberrys, the mulberry trees in many places set in exact quincunx & at the distance of our apple trees in England. 28 dec. To Valence 7 leagues, a pretty large town, ill built, the Cathedral the plainest I had any where seen. The Schola Juris et Medicinae here very meane. As we came along, we passed by the Hermitage, the place soe famous for wine. It is the side of a hill lying open to the south and a little west, about a mile long, begining just at Thuin. We saw also the Citadell which we got into "
France_Pages\France_Page30.png,France_Page30.png,"with some difficulty, & there was reason for the caution, we being 4 & there being a garison in it but of one man and one great gun, which was left behind, when the King lately took away all the rest for his ships, for a fault very frequent in this country, viz. in the touch hole. 29 dec. To Montelimar, 8 leagues. This towne is wald, as Valence is, the streets broader & the buildings better, but the town not altogether soe big. 30 DEC. From Montelimar to Pon St. Esprit, 5 leagues. A league from Montiimar we came to a little town cald Chasteauneuf, where had formerly been a citadell which now is demolishd, & the towne very litle & very poor in appearance. From Vienne to this place we had passed all along a valey without any considerable rise at all in soe many days�� journey, having all the way the Rhosne on the right hand & high, barren hill[s] of Dauphine on the left. This valley is in some places a league or 2 broad, in some broader and in some very narrow, & in a great part of the journey the soyle was coverd with great round pebbles, in some places soe thick that noe earth was to "
France_Pages\France_Page31.png,France_Page31.png,"be seen, & yet all along there was corne sowed, though in many places the mulberry & almond trees, set in quincunx, coverd the corne as thick as apple trees in an Orchard in England. In many places walnut trees were set up & down in the cornfield, & the wheat green under them as the other trees quite to the stocks. In this valley we saw severall diging the ground, & other where [sic] some a ploughing with a very litle, light plow with one handle, drawne by a pair of cows, steers or asses which the ploughman drives himself. The soyle is generally light & sandy, & they turne it up with their ploughs not above 2 or 3 inches deepe. In this valley we crossd many rivers & rivulets; one by ferry, some by bridges & most ofthe rest by ford, & the channels of some quite drye; but these & all of them appeared to be sometimes great & swift torrents, when either raine or melted snow is powerd down into them from the high hils of Dauphine, which lay all along on the "
France_Pages\France_Page32.png,France_Page32.png,"left hand of our way. About half a league from St. Valer we saw an house, a litle out ofthe way, where they say Pilate lived in Banishment. We met with the owner who seemed to doubt the truth ofthe story, but told us there was Mosaic work very ancient in one of the floors. At Chasteau Neuf sur Rhosne we got up a hill which runs directly to the Rhosne, & the Rhosne through it, as the Avon at the Hot Well.The surface of this hill was most part rocke; much box, a great deale of Lavender, little or noe grasse, but where ever there was earth, the country men improved it to corne or wine. From the top ofthis hil we had a prospect into a large valey, much broader then any part of that between Vienn & Chasteau Neuf. Three leagues from Chasteau Neuf we came to Pallu,  a litle town belonging to the Pope. 1 league from thence we came to Pont St. Esprit. There is a bridg over the Rhosne, long on the heighth over the great arches, which are 18, 1100 of my steps. The ascent to the top "
France_Pages\France_Page33.png,France_Page33.png,"about 120 steps, over 6 lesser arches at the east side. On the west how many arches there be, I know not, but they recon 27 in all, besides a litle one between each of the 18 great ones. The bridg is very narrow, not roome for 2 carriages to meet & pass, well paved with litle, square, blew stones very regularly placed. At the end of it, on the west side, is the town of Pont St. Esprit & a citadell to guarde the bridge & the Rhosne. In it we saw some soldiers & 4 litle brasse guns, but never an one mounted. The bridg is not exactly straight, but about the midle makes an obtuse angle towards the current of the river. 3 Leagues from Pont St. Esprit we came to Orange, a litle towne within a square wall, lesse then Bath within the wals. The half moons at the entrance of the gates are demolishd by the King of France, & the castle which was upon a rocky hill just over it. Here we also saw Marius��s triumphant arch, a peice ofvery handsom "
